Year,Count
1992,1
1995,1
1996,2
1997,1
1998,2
2001,2
2002,1
2003,7
2004,7
2005,8
2006,6
2007,9
2008,20
2009,36
2010,31
2011,32
2012,22
2013,28
2014,38
2015,58
2016,68
2017,98
2018,122
2019,168
2020,126
2021,145
2022,148
2023,153
2024,653
2025,100
